67108864,2,UNIFORM UNSIGNED INTEGERS,155428853201720,Inplace,4294967221,55.7054,Destructive Radix Select,4294967221,359.7,0
67108864,2,UNIFORM UNSIGNED INTEGERS,746838963306232,Inplace,4294967221,55.61,Destructive Radix Select,4294967221,360.765,0
67108864,2,UNIFORM UNSIGNED INTEGERS,374768355206531,Inplace,4294967221,55.561,Destructive Radix Select,4294967221,358.275,0
67108864,2,UNIFORM UNSIGNED INTEGERS,1319742109313199,Inplace,4294967221,55.6642,Destructive Radix Select,4294967221,357.781,0
67108864,2,UNIFORM UNSIGNED INTEGERS,940147462425120,Inplace,4294967221,55.6322,Destructive Radix Select,4294967221,359.171,0
67108864,671088,UNIFORM UNSIGNED INTEGERS,555731818294275,Inplace,4252108593,55.6195,Destructive Radix Select,4252108593,360.468,0
67108864,671088,UNIFORM UNSIGNED INTEGERS,131763342627000,Inplace,4252108593,55.607,Destructive Radix Select,4252108593,360.319,0
67108864,671088,UNIFORM UNSIGNED INTEGERS,1079094651592350,Inplace,4252108593,55.5998,Destructive Radix Select,4252108593,357.865,0
67108864,671088,UNIFORM UNSIGNED INTEGERS,702093174992543,Inplace,4252108593,55.5859,Destructive Radix Select,4252108593,358.645,0
67108864,671088,UNIFORM UNSIGNED INTEGERS,322714292119736,Inplace,4252108593,55.6166,Destructive Radix Select,4252108593,359.103,0
